Country,Cases,Deaths,Category,AsOf
Andorra,4,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Argentina,49,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Australia,70,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Austria,200,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Bahamas,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Barbados,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Belgium,546,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Benin,3,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Bermuda,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Bolivia,11,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Bosnia and Herzegovina,3,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Brazil,2584,1,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Bulgaria,4,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Cameroon,7,0,Has historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Canada,1059,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Central African Republic,8,2,Has historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Chile,141,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Colombia,84,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Costa Rica,3,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Croatia,17,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Cyprus,3,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Czechia,35,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Democratic Republic of the Congo,163,0,Has historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Denmark,151,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Dominican Republic,5,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Ecuador,17,1,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Estonia,9,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Finland,22,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
France,2673,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Georgia,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Germany,3142,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Ghana,35,1,Has historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Gibraltar,6,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Greece,49,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Greenland,2,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Guadeloupe,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Guatemala,3,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Honduras,3,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Hungary,57,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Iceland,11,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
India,9,1,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Ireland,101,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Israel,189,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Italy,644,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Jamaica,4,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Japan,4,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Latvia,3,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Lebanon,6,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Liberia,2,0,Has historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Lithuania,5,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Luxembourg,43,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Malta,30,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Martinique,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Mexico,147,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Moldova,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Monaco,3,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Montenegro,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Morocco,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Netherlands,1025,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
New Caledonia,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
New Zealand,4,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Nigeria,157,4,Has historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Norway,72,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Panama,2,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Peru,775,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Philippines,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Poland,95,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Portugal,770,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Qatar,3,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Republic of the Congo,3,0,Has historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Romania,32,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Russia,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Saint Martin,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Saudi Arabia,5,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Serbia,23,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Singapore,15,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Slovakia,10,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Slovenia,43,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
South Africa,3,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
South Korea,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Spain,5719,2,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Sudan,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Sweden,129,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Switzerland,387,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Taiwan,3,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Thailand,4,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Turkey,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
United Arab Emirates,16,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
United Kingdom,3017,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
United States,11889,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Uruguay,2,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
Venezuela,1,0,Has not historically reported monkeypox,Data as of 15 Aug 2022 5:00 PM EDT
