epi_date,Cases,AsOf
5/15/2022,1,Data as of 8/17/2022
5/16/2022,0,Data as of 8/17/2022
5/17/2022,1,Data as of 8/17/2022
5/18/2022,0,Data as of 8/17/2022
5/19/2022,1,Data as of 8/17/2022
5/20/2022,2,Data as of 8/17/2022
5/21/2022,2,Data as of 8/17/2022
5/22/2022,2,Data as of 8/17/2022
5/23/2022,3,Data as of 8/17/2022
5/24/2022,1,Data as of 8/17/2022
5/25/2022,2,Data as of 8/17/2022
5/26/2022,2,Data as of 8/17/2022
5/27/2022,2,Data as of 8/17/2022
5/28/2022,0,Data as of 8/17/2022
5/29/2022,2,Data as of 8/17/2022
5/30/2022,1,Data as of 8/17/2022
5/31/2022,6,Data as of 8/17/2022
6/1/2022,2,Data as of 8/17/2022
6/2/2022,5,Data as of 8/17/2022
6/3/2022,6,Data as of 8/17/2022
6/4/2022,1,Data as of 8/17/2022
6/5/2022,1,Data as of 8/17/2022
6/6/2022,7,Data as of 8/17/2022
6/7/2022,9,Data as of 8/17/2022
6/8/2022,14,Data as of 8/17/2022
6/9/2022,7,Data as of 8/17/2022
6/10/2022,12,Data as of 8/17/2022
6/11/2022,5,Data as of 8/17/2022
6/12/2022,4,Data as of 8/17/2022
6/13/2022,8,Data as of 8/17/2022
6/14/2022,21,Data as of 8/17/2022
6/15/2022,15,Data as of 8/17/2022
6/16/2022,17,Data as of 8/17/2022
6/17/2022,13,Data as of 8/17/2022
6/18/2022,15,Data as of 8/17/2022
6/19/2022,5,Data as of 8/17/2022
6/20/2022,15,Data as of 8/17/2022
6/21/2022,22,Data as of 8/17/2022
6/22/2022,27,Data as of 8/17/2022
6/23/2022,25,Data as of 8/17/2022
6/24/2022,49,Data as of 8/17/2022
6/25/2022,25,Data as of 8/17/2022
6/26/2022,23,Data as of 8/17/2022
6/27/2022,91,Data as of 8/17/2022
6/28/2022,59,Data as of 8/17/2022
6/29/2022,69,Data as of 8/17/2022
6/30/2022,100,Data as of 8/17/2022
7/1/2022,115,Data as of 8/17/2022
7/2/2022,74,Data as of 8/17/2022
7/3/2022,58,Data as of 8/17/2022
7/4/2022,81,Data as of 8/17/2022
7/5/2022,121,Data as of 8/17/2022
7/6/2022,132,Data as of 8/17/2022
7/7/2022,130,Data as of 8/17/2022
7/8/2022,170,Data as of 8/17/2022
7/9/2022,116,Data as of 8/17/2022
7/10/2022,85,Data as of 8/17/2022
7/11/2022,233,Data as of 8/17/2022
7/12/2022,169,Data as of 8/17/2022
7/13/2022,212,Data as of 8/17/2022
7/14/2022,231,Data as of 8/17/2022
7/15/2022,239,Data as of 8/17/2022
7/16/2022,133,Data as of 8/17/2022
7/17/2022,113,Data as of 8/17/2022
7/18/2022,379,Data as of 8/17/2022
7/19/2022,245,Data as of 8/17/2022
7/20/2022,281,Data as of 8/17/2022
7/21/2022,245,Data as of 8/17/2022
7/22/2022,319,Data as of 8/17/2022
7/23/2022,150,Data as of 8/17/2022
7/24/2022,110,Data as of 8/17/2022
7/25/2022,407,Data as of 8/17/2022
7/26/2022,378,Data as of 8/17/2022
7/27/2022,460,Data as of 8/17/2022
7/28/2022,299,Data as of 8/17/2022
7/29/2022,400,Data as of 8/17/2022
7/30/2022,160,Data as of 8/17/2022
7/31/2022,149,Data as of 8/17/2022
8/1/2022,473,Data as of 8/17/2022
8/2/2022,438,Data as of 8/17/2022
8/3/2022,426,Data as of 8/17/2022
8/4/2022,436,Data as of 8/17/2022
8/5/2022,424,Data as of 8/17/2022
8/6/2022,138,Data as of 8/17/2022
8/7/2022,78,Data as of 8/17/2022
8/8/2022,754,Data as of 8/17/2022
8/9/2022,409,Data as of 8/17/2022
8/10/2022,366,Data as of 8/17/2022
8/11/2022,314,Data as of 8/17/2022
8/12/2022,280,Data as of 8/17/2022
8/13/2022,39,Data as of 8/17/2022
8/14/2022,10,Data as of 8/17/2022
8/15/2022,670,Data as of 8/17/2022
8/16/2022,361,Data as of 8/17/2022
8/17/2022,347,Data as of 8/17/2022
